epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,978.46,3.24898,5.20535,3.69687,0.00299,0.05813,0.00277,0.00116,2.55258,inf,2.95695,0.00332973,0.00332973,0.00332973
1,1959.25,2.05823,3.81052,2.27817,0.23001,0.06571,0.03074,0.01525,2.00453,3.13184,2.20184,0.00665207,0.00665207,0.00665207
2,2960.09,1.73066,3.15991,1.88032,0.22595,0.12167,0.07301,0.04052,1.74675,2.78756,1.9043,0.00996341,0.00996341,0.00996341
3,3963.79,1.58239,2.71746,1.69467,0.25401,0.18259,0.13987,0.08367,1.60227,2.38234,1.72497,0.0099505,0.0099505,0.0099505
4,4976.99,1.49883,2.45512,1.59677,0.35353,0.22211,0.1928,0.11948,1.52431,2.17168,1.62385,0.009934,0.009934,0.009934
5,6116.85,1.44761,2.30669,1.53528,0.3873,0.24752,0.22942,0.14569,1.46385,2.02047,1.55186,0.0099175,0.0099175,0.0099175
6,7131.2,1.41343,2.20767,1.49296,0.39476,0.27906,0.25687,0.16467,1.42958,1.91948,1.51358,0.009901,0.009901,0.009901
7,8121.22,1.38956,2.13326,1.46211,0.41323,0.30298,0.29008,0.18913,1.3879,1.82614,1.47052,0.0098845,0.0098845,0.0098845
8,9254.25,1.37198,2.07797,1.44103,0.46267,0.30589,0.30818,0.2034,1.36145,1.75824,1.43766,0.009868,0.009868,0.009868
9,10204.1,1.35369,2.0336,1.41956,0.46987,0.32037,0.32398,0.21537,1.33853,1.70771,1.41849,0.0098515,0.0098515,0.0098515
10,11134.5,1.34255,1.99952,1.40467,0.48081,0.33462,0.33845,0.22459,1.32074,1.66675,1.39748,0.009835,0.009835,0.009835
